Selected Features,Variances,Weights
telomere_length,53.51838243845423,0.0014589502256726616
age,353.5390134820334,0.023927516332289844
cigarette_smoking,0.38285403527568773,0.002879684640576863
alcohol_drinking,0.6066346864067662,-0.007665581507308339
physical_activity_cohort,1.6052467106598158,-0.001274117006092923
bmi,532.3352970167078,0.11061999704631627
bp_category,1.3618233618233617,0.0010211555886654455
hr,145.93001680181166,-0.007438906433813841
rr,4.318568842785367,0.00047001337516809107
cardiovascular_disease_diagnosis,0.20249835634451016,8.426682167606003e-06
sex_Female,0.24965706447187927,0.0037105370585746034
sex_Male,0.24965706447187927,-0.0037105370585746034
rural_or_urban_Rural,0.10749912744214736,6.557453197097995e-05
rural_or_urban_Urban,0.10749912744214736,-6.557453197086893e-05
