Selected Features,Variances,Weights
telomere_length,53.51838243845423,-0.04529657714098295
age,353.5390134820334,-0.013816224077470851
cigarette_smoking,0.38285403527568773,0.0
alcohol_drinking,0.6066346864067662,0.12529594431695457
physical_activity_cohort,1.6052467106598158,-0.06160045707010248
bmi,532.3352970167078,-0.007412841538631698
bp_category,1.3618233618233617,0.054548581811639796
hr,145.93001680181166,-0.4942425315312047
rr,4.318568842785367,0.28081984902015694
cardiovascular_disease_diagnosis,0.20249835634451016,-0.2478384721956839
sex_Female,0.24965706447187927,0.3180075413468546
sex_Male,0.24965706447187927,-0.3180075413468546
rural_or_urban_Rural,0.10749912744214736,-0.08432210932803064
rural_or_urban_Urban,0.10749912744214736,0.08432210932803075
